Unnamed: 0,ontology_id,ontology_name,nr_common_with_tested_elements,p_value,adjusted_p_value,gene_in_pathway,protein,Protein_ID
1,GO:0036457,keratohyalin granule,1,0.0019054240789701,0.796609279729325,Hrnr,Hrnr_sp|Q8VHD8|HORN_MOUSE,Q8VHD8
2,GO:0043163,cell envelope organization,1,0.0019054240789701,0.796609279729325,Hrnr,Hrnr_sp|Q8VHD8|HORN_MOUSE,Q8VHD8
3,GO:0045229,external encapsulating structure organization,1,0.0019054240789701,0.796609279729325,Hrnr,Hrnr_sp|Q8VHD8|HORN_MOUSE,Q8VHD8
4,GO:0010466,negative regulation of peptidase activity,2,0.0030523491152239,0.796609279729325,Serpina1a#Pak2,Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE,P07758
5,GO:0010951,negative regulation of endopeptidase activity,2,0.0030523491152239,0.796609279729325,Serpina1a#Pak2,Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE,P07758
6,GO:0052548,regulation of endopeptidase activity,2,0.0030523491152239,0.796609279729325,Serpina1a#Pak2,Serpina1a_sp|P07758|A1AT1_MOUSE#Pak2_sp|Q8CIN4|PAK2_MOUSE,P07758
7,GO:0007006,mitochondrial membrane organization,4,0.0049450724672624,0.796609279729325,Ppif#Pdcd5#Apoo#Hsp90aa1,Ppif_sp|Q99KR7|PPIF_MOUSE#Pdcd5_sp|P56812|PDCD5_MOUSE#Apoo_sp|Q9DCZ4|APOO_MOUSE#Hsp90aa1_sp|P07901|HS90A_MOUSE,Q99KR7
8,GO:0022603,regulation of anatomical structure morphogenesis,2,0.0102378951274004,0.796609279729325,Nol3#Cd34,Nol3_sp|Q9D1X0|NOL3_MOUSE#Cd34_sp|Q64314|CD34_MOUSE,Q9D1X0
9,GO:0016647,"oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor",1,0.0129281021374671,0.796609279729325,Smox,Smox_sp|Q99K82|SMOX_MOUSE,Q99K82
10,GO:0052894,norspermine:oxygen oxidoreductase activity,1,0.0129281021374671,0.796609279729325,Smox,Smox_sp|Q99K82|SMOX_MOUSE,Q99K82
11,GO:0052895,N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity,1,0.0129281021374671,0.796609279729325,Smox,Smox_sp|Q99K82|SMOX_MOUSE,Q99K82
12,GO:0001570,vasculogenesis,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
13,GO:0001816,cytokine production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
14,GO:0001817,regulation of cytokine production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
15,GO:0001818,negative regulation of cytokine production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
16,GO:0001819,positive regulation of cytokine production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
17,GO:0010628,positive regulation of gene expression,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
18,GO:0010821,regulation of mitochondrion organization,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
19,GO:0010822,positive regulation of mitochondrion organization,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
20,GO:0032388,positive regulation of intracellular transport,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
21,GO:0032623,interleukin-2 production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
22,GO:0032663,regulation of interleukin-2 production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
23,GO:0032703,negative regulation of interleukin-2 production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
24,GO:0036053,glomerular endothelium fenestra,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
25,GO:0036301,macrophage colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
26,GO:0038001,paracrine signaling,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
27,GO:0042481,regulation of odontogenesis,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
28,GO:0042482,positive regulation of odontogenesis,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
29,GO:0046930,pore complex,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
30,GO:0061077,chaperone-mediated protein folding,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
31,GO:0071611,granulocyte colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
32,GO:0071655,regulation of granulocyte colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
33,GO:0071657,positive regulation of granulocyte colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
34,GO:0071971,extracellular exosome assembly,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
35,GO:0090316,positive regulation of intracellular protein transport,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
36,GO:1901256,regulation of macrophage colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
37,GO:1901258,positive regulation of macrophage colony-stimulating factor production,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
38,GO:1903214,regulation of protein targeting to mitochondrion,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
39,GO:1903533,regulation of protein targeting,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
40,GO:1903636,regulation of protein import into mitochondrial outer membrane,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
41,GO:1903638,positive regulation of protein import into mitochondrial outer membrane,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
42,GO:1903644,regulation of chaperone-mediated protein folding,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
43,GO:1903645,negative regulation of chaperone-mediated protein folding,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
44,GO:1903747,regulation of establishment of protein localization to mitochondrion,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
45,GO:1903749,positive regulation of establishment of protein localization to mitochondrion,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
46,GO:1903955,positive regulation of protein targeting to mitochondrion,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
47,GO:1904589,regulation of protein import,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
48,GO:1904591,positive regulation of protein import,1,0.0145721209706584,0.796609279729325,Pdcd5,Pdcd5_sp|P56812|PDCD5_MOUSE,P56812
49,GO:2000027,regulation of organ morphogenesis,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
50,GO:2001212,regulation of vasculogenesis,1,0.0145721209706584,0.796609279729325,Cd34,Cd34_sp|Q64314|CD34_MOUSE,Q64314
